,dates,statements,rulings,subjects,names,domains
0,2016-08-16 10:57:32,"<p>&quot;I had previously said that NATO was obsolete because it failed to deal adequately with terrorism. Since my comments, they have changed their policy and now have a new division focused on terror threats.&quot;</p>
",false,Foreign Policyforeign-policyMilitarymilitaryTerrorismterrorism,donald-trump,foreign-policy
1,2016-08-15 15:01:42,"<p>Says the U.S. election system is &quot;rigged.&quot;</p>
",pants-fire,Foreign Policy,donald-trump,military
2,2016-08-11 14:07:25,"<p>Says Barack Obama &quot;founded ISIS. I would say the co-founder would be crooked Hillary Clinton.&quot;</p>
",pants-fire,Military,hillary-clinton,terrorism
3,2016-08-11 14:07:25,"<p>Says Barack Obama &quot;founded ISIS. I would say the co-founder would be crooked Hillary Clinton.&quot;</p>
",pants-fire,Terrorism,barack-obama,elections
4,2016-08-10 17:59:49,"<p>Says Hillary Clinton&#39;s plan &quot;would tax many small businesses by almost 50 percent.&quot;</p>
",barely-true,Electionselections,donald-trump,foreign-policy
5,2016-08-09 16:50:56,"<p>&quot;The Obama-Clinton war on coal has cost Michigan over 50,000 jobs.&quot;</p>
",false,Elections,hillary-clinton,terrorism
6,2016-08-09 16:50:56,"<p>&quot;The Obama-Clinton war on coal has cost Michigan over 50,000 jobs.&quot;</p>
",false,Foreign Policyforeign-policyTerrorismterrorism,barack-obama,foreign-policy
7,2016-08-08 17:03:30,"<p>Says the media distorted&nbsp;what happened with a baby at his rally.</p>
",true,Foreign Policy,donald-trump,terrorism
8,2016-08-05 14:59:02,"<p>Says he saw videotape &quot;of the people taking the money off the plane&quot; to pay ransom to Iran for hostages.</p>
",false,Terrorism,hillary-clinton,economy
9,2016-08-05 12:34:23,"<p>&quot;Hillary Clinton says she wants to, &lsquo;raise taxes on the middle class.&rsquo; &quot;</p>
",pants-fire,Foreign Policyforeign-policyTerrorismterrorism,donald-trump,small-business
10,2016-08-04 14:29:30,"<p>&quot;Youth unemployment is through the roof.&quot;</p>
",false,Foreign Policy,hillary-clinton,taxes
11,2016-08-02 17:10:48,"<p>&quot;American homeownership rate in Q2 2016 was 62.9% - lowest rate in 51yrs.&quot;</p>

<div>&nbsp;</div>
",mostly-true,Terrorism,barack-obama,wealth
12,2016-08-02 15:57:26,"<p>Says Donald Trump &quot;is going to go out and carpet bomb&quot; the Middle East.</p>
",false,EconomyeconomySmall Businesssmall-businessTaxestaxesWealthwealth,donald-trump,energy
13,2016-08-01 18:02:31,"<p>&quot;As usual, Hillary &amp; the Dems are trying to rig the debates so 2 are up against major NFL games.&quot;</p>
",pants-fire,Economy,hillary-clinton,environment
14,2016-08-01 15:50:11,"<p>On whether he&rsquo;s had a relationship with Vladimir Putin.</p>
",full-flop,Small Business,barack-obama,government-regulation
15,2016-07-29 01:03:27,"<p>Says Donald Trump &quot;claimed our armed forces are &#39;a disaster.&#39;&quot;</p>
",mostly-true,Taxes,donald-trump,jobs
16,2016-07-28 18:39:48,"<p>On whether the federal government should set a minimum wage</p>
",full-flop,Wealth,various-media-reports,energy
17,2016-07-28 01:39:57,"<p>Says Donald Trump promised &quot;the mass deportation of Latino families.&quot;</p>
",half-true,EnergyenergyEnvironmentenvironmentGovernment regulationgovernment-regulationJobsjobs,donald-trump,environment
18,2016-07-28 01:08:40,"<p>&quot;Illegal immigration and the crime rate are as low as they&rsquo;ve been in decades.&quot;</p>
",mostly-true,Energy,donald-trump,government-regulation
19,2016-07-27 22:40:55,"<p>Independent analysts &quot;found that Trump&#39;s tax plan, given to the wealthy and big corporations, would rack up $30 trillion in debt.&quot;</p>
",half-true,Environment,hillary-clinton,jobs
20,2016-07-27 21:25:16,"<p>Donald Trump &quot;called the military that I served in a disaster.&quot;</p>
",mostly-true,Government regulation,donald-trump,candidates-biography
21,2016-07-27 14:40:21,"<p>&quot;Not one American flag on the massive stage at the Democratic National Convention until people started complaining- then a small one. Pathetic.&quot;</p>
",half-true,Jobs,donald-trump,children
22,2016-07-27 00:21:39,"<p>Says when an interviewer asked Donald Trump if he treats women with respect, Trump replied, &quot;I can&#39;t say that.&quot;</p>
",barely-true,EnergyenergyEnvironmentenvironmentGovernment regulationgovernment-regulationJobsjobs,donald-trump,foreign-policy
23,2016-07-26 00:48:21,"<p>&quot;Donald Trump said he was excited for the 2008 housing crash that devastated millions of American families, because he thought it would help him scoop up more real estate on the cheap.&quot;</p>
",half-true,Energy,donald-trump,taxes
24,2016-07-26 00:13:05,"<p>Says Donald Trump &quot;believes that states should actually have the right to lower the minimum wage below $7.25.&quot;</p>
",mostly-true,Environment,joe-biden,economy
25,2016-07-25 16:35:15,"<p>Says &quot;Donald Trump is a guy who has called for privatization&quot; of the Veterans Administration.</p>
",barely-true,Government regulation,hillary-clinton,economy
26,2016-07-25 15:43:46,"<p>&quot;An analysis showed that Bernie Sanders would have won the Democratic nomination if it were not for the Super Delegates.&quot;</p>
",false,Jobs,donald-trump,housing
27,2016-07-22 02:36:58,"<p>&quot;Nearly 180,000 illegal immigrants with criminal records, ordered deported from our country, are tonight roaming free to threaten peaceful citizens.&quot;</p>
",mostly-true,Candidate Biographycandidates-biographyChildrenchildren,donald-trump,foreign-policy
28,2016-07-22 01:02:06,"<p>&quot;An amendment, pushed by Lyndon Johnson many years ago, threatens religious institutions with a loss of their tax-exempt status if they openly advocate their political views.&quot;</p>
",true,Candidate Biography,donald-trump,human-rights
29,2016-07-22 00:34:21,"<p>&quot;America is one of the highest-taxed nations in the world.&quot;</p>

<div>&nbsp;</div>
",barely-true,Children,hillary-clinton,iraq
30,2016-07-21 23:47:53,"<p>&quot;Household incomes are down more than $4,000 since the year 2000.&quot;</p>
",mostly-true,Foreign Policyforeign-policy,donald-trump,military
31,2016-07-21 23:37:37,"<p>&quot;Our trade deficit in goods reached nearly &hellip; $800 billion last year alone.&quot;</p>
",true,Foreign Policy,donald-trump,terrorism
32,2016-07-21 23:27:09,"<p>Says Hillary Clinton &quot;supported North American Free Trade Agreement), and she supported China&rsquo;s entrance into the World Trade Organization&hellip;. She supported the job-killing trade deal with South Korea. She supported the Trans-Pacific Partnership.&quot;</p>
",mostly-true,Taxestaxes,karen-bass,debates
33,2016-07-21 23:23:50,"<p>Says Hillary Clinton &quot;wants to essentially abolish the Second Amendment.&quot;</p>
",false,Taxes,donald-trump,sports
34,2016-07-21 23:16:17,"<p>&quot;While Hillary Clinton plans a massive, and I mean massive, tax increase, I have proposed the largest tax reduction of any candidate who has run for president this year, Democrat or Republican.&quot;</p>
",mostly-true,Economyeconomy,barack-obama,candidates-biography
35,2016-07-21 23:11:31,"<p>&quot;America has lost nearly&nbsp;one third of its manufacturing jobs since 1997, following the enactment of disastrous trade deals supported by Bill and Hillary Clinton.&quot;</p>

<p>&nbsp;</p>
",half-true,Economy,donald-trump,foreign-policy
36,2016-07-21 23:01:39,"<p>Says Hillary Clinton &quot;has called for a radical 550 percent increase in Syrian &nbsp;... refugees . . . &nbsp;despite the fact that there&rsquo;s no way to screen these refugees in order to find out who they are or where they come from.&quot;</p>

<p>&nbsp;</p>
",half-true,EconomyeconomyHousinghousing,tim-kaine,foreign-policy
37,2016-07-21 22:42:37,"<p>&quot;Forty-three million Americans are on food stamps.&quot;</p>

<div>&nbsp;</div>
",true,Economy,donald-trump,military
38,2016-07-21 22:36:09,"<p>&quot;The number of new illegal immigrant families who have crossed the border so far this year already exceeds the entire total from 2015.&quot;</p>
",half-true,Housing,john-hutson,economy
39,2016-07-21 22:30:51,"<p>&quot;Homicides last year increased by 17 percent in America&rsquo;s 50 largest cities. That&rsquo;s the largest increase in 25 years.&quot;</p>
",half-true,Foreign Policyforeign-policyHuman Rightshuman-rightsIraqiraqMilitarymilitaryTerrorismterrorism,donald-trump,workers
40,2016-07-21 22:28:36,"<p>&quot;Two million more Latinos are in poverty today than when President Obama&nbsp;took his oath of office less than eight years ago.&quot;</p>
",half-true,Foreign Policy,donald-trump,immigration
41,2016-07-18 23:57:37,"<p>Says as GOP was picking a convention city, &quot;I recommended Ohio.&quot;</p>
",false,Human Rights,hillary-clinton,crime
42,2016-07-15 11:16:28,"<p>&quot;Just look at what the FBI director said about her (Hillary Clinton) &mdash; her misconduct &nbsp;is a disgrace and embarrassment to our country.&quot;</p>
",false,Iraq,donald-trump,history
43,2016-07-14 14:59:18,"<p>&quot;(Mexican immigrants) are more law-abiding than U.S. citizens and that is a statistic.&quot;</p>
",mostly-true,Military,elizabeth-warren,immigration
44,2016-07-13 15:05:52,"<p>&quot;Independent analysts say (Donald Trump) would add $30 trillion to the national debt.&quot;</p>
",half-true,Terrorism,donald-trump,debt
45,2016-07-07 17:57:09,"<p>&quot;You know what (Saddam Hussein) did well? He killed terrorists.&quot;</p>
",barely-true,DebatesdebatesSportssports,bernie-s,taxes
46,2016-07-07 11:55:06,"<p>&quot;Taxpayers are paying a fortune for the use of Air Force One on the campaign trail&quot; by President Barack Obama and Hillary Clinton.</p>
",mostly-true,Debates,donald-trump,military
47,2016-07-07 11:55:06,"<p>&quot;Taxpayers are paying a fortune for the use of Air Force One on the campaign trail&quot; by President Barack Obama and Hillary Clinton.</p>
",mostly-true,Sports,tim-kaine,patriotism
48,2016-07-05 11:25:10,"<p>Says Donald Trump&#39;s position is&nbsp;&quot;to roll back all&quot; of the financial regulations passed after the financial crisis.</p>
",mostly-true,Candidate Biographycandidates-biographyForeign Policyforeign-policy,bernie-s,history
49,2016-07-01 12:30:00,"<p>&quot;As Secretary of State, Hillary Clinton laundered money to Bill Clinton through Laureate Education, while Bill Clinton was an honorary chairman of the group.&quot;</p>

<p>&nbsp;</p>
",false,Candidate Biography,donald-trump,women
50,2016-07-01 12:30:00,"<p>&quot;As Secretary of State, Hillary Clinton laundered money to Bill Clinton through Laureate Education, while Bill Clinton was an honorary chairman of the group.&quot;</p>

<p>&nbsp;</p>
",false,Foreign Policy,donald-trump,debt
51,2016-07-01 11:54:08,"<p>Says Donald Trump&rsquo;s proposed tax treatment of hedge fund managers &quot;makes the current loophole even worse.&quot;</p>
",true,Foreign Policyforeign-policyMilitarymilitary,donald-trump,economy
52,2016-06-30 14:21:35,"<p>Says Hillary Clinton&rsquo;s State Department &quot;approved the transfer of 20 percent of America&rsquo;s uranium holdings to Russia, while nine investors in the deal funneled $145 million to the Clinton Foundation.&quot;</p>
",barely-true,Foreign Policy,donald-trump,history
53,2016-06-29 11:57:17,"<p>&quot;As Bernie Sanders said, Hillary Clinton &lsquo;voted for virtually every trade agreement that has cost the workers of this country millions, millions of jobs.&rsquo; &quot;</p>
",half-true,Military,donald-trump,housing
54,2016-06-28 17:58:44,"<p>&quot;Hillary Clinton surged the trade deficit with China 40% as Secretary of State, costing Americans millions of jobs.&quot;</p>
",barely-true,EconomyeconomyWorkersworkers,donald-trump,jobs
55,2016-06-28 16:47:44,"<p>Says Hillary Clinton &quot;filibustered legislation to reform&quot; Fannie Mae and Freddie Mac.</p>
",false,Economy,hillary-clinton,poverty
56,2016-06-27 16:08:27,"<p>&quot;Risk analysts listed Donald Trump, a Donald Trump presidency, as one of the top threats facing the global economy, ahead of terrorism.&quot;</p>
",true,Workers,donald-trump,workers
57,2016-06-24 11:53:59,"<p>&quot;We don&#39;t know anything about Hillary in terms of religion. Now, she&#39;s been in the public eye for years and years, and yet there&#39;s no &mdash; there&#39;s nothing out there.&quot;</p>
",pants-fire,Immigrationimmigration,hillary-clinton,health-care
58,2016-06-23 16:32:00,"<p>Says Hillary Clinton &quot;has even deleted this record of total support (for the Trans-Pacific Partnership trade agreement) from her book.&quot;</p>
",pants-fire,Immigration,donald-trump,veterans
59,2016-06-23 13:44:22,"<p>The Benghazi victims were &quot;left helpless to die as Hillary Clinton soundly slept in her bed.&quot;</p>
",false,CrimecrimeHistoryhistoryImmigrationimmigration,hillary-clinton,elections
60,2016-06-22 17:03:08,"<p>&quot;For the amount of money Hillary Clinton would like to spend on refugees, we could rebuild every inner city in America.&quot;</p>
",pants-fire,Crime,donald-trump,immigration
61,2016-06-22 12:40:16,"<p>Says Hillary Clinton &quot;said she was under attack (in Bosnia) but the attack turned out to be young girls handing her flowers.&quot;</p>
",true,History,hillary-clinton,history
62,2016-06-22 11:45:54,"<p>&quot;I was among the earliest to criticize the rush to war (in Iraq), and yes, even before the war ever started.&quot;</p>

<div>&nbsp;</div>
",false,Immigration,donald-trump,human-rights
63,2016-06-21 16:37:49,"<p>Says Donald Trump has &quot;bankrupted his companies not once, not twice but four times.&quot;</p>
",mostly-true,DebtdebtTaxestaxes,hillary-clinton,legal-issues
64,2016-06-19 18:10:14,"<p>Says Donald Trump has said he loves war, &quot;including with nukes.&quot;</p>
",half-true,Debt,donald-trump,religion
65,2016-06-19 17:48:02,"<p>Says delegates can&#39;t &quot;legally&quot; change the Republican National Convention rules to prevent Donald Trump&rsquo;s nomination.</p>
",barely-true,Taxes,donald-trump,taxes
66,2016-06-16 10:00:00,"<p>&quot;According to Pew Research, 99 percent of the people in Afghanistan support oppressive Sharia law.&quot;</p>
",mostly-true,Militarymilitary,donald-trump,taxes
67,2016-06-15 17:48:18,"<p>&quot;The Obama administration was actively supporting Al Qaeda in Iraq, the terrorist group that became the Islamic State.&quot;</p>
",pants-fire,Military,donald-trump,economy
68,2016-06-15 17:48:18,"<p>&quot;The Obama administration was actively supporting Al Qaeda in Iraq, the terrorist group that became the Islamic State.&quot;</p>
",pants-fire,Patriotismpatriotism,donald-trump,income
69,2016-06-13 17:55:19,"<p>Says Hillary Clinton &quot;plans to massively increase admissions (of Middle East refugees) &hellip; including a 500 percent increase in Syrian refugees coming into our country.&quot;</p>
",mostly-true,Patriotism,donald-trump,economy
70,2016-06-13 17:04:01,"<p>There is &quot;no system to vet&quot; refugees from the Middle East.</p>

<div>&nbsp;</div>
",false,HistoryhistoryWomenwomen,hillary-clinton,trade
71,2016-06-13 15:31:20,"<p>&quot;We admit more than 100,000 lifetime migrants from the Middle East each year.&quot;</p>
",mostly-true,History,donald-trump,candidates-biography
72,2016-06-09 11:31:02,"<p>&quot;Crime is rising.&quot;</p>
",pants-fire,Women,donald-trump,trade
73,2016-06-07 13:14:57,"<p>Says Judge Gonzalo Curiel &quot;is a member of a club or society, very strongly pro-Mexican.&quot;</p>

<div>&nbsp;</div>
",barely-true,DebtdebtEconomyeconomyHistoryhistoryHousinghousing,gary-johnson,guns
74,2016-06-06 17:54:47,"<p>&quot;A trade war is something very different (than curbing new trade agreements). We went down that road in the 1930s. It made the Great Depression longer and more painful.&quot;</p>
",true,Debt,donald-trump,taxes
75,2016-06-03 14:20:56,"<p>Says Donald Trump &quot;says he has foreign policy experience because he ran the Miss Universe pageant in Russia.&quot;</p>
",half-true,Economy,hillary-clinton,trade
76,2016-06-03 12:00:53,"<p>Says &quot;Donald Trump says climate change is a hoax invented by the Chinese.&quot;</p>
",mostly-true,History,donald-trump,foreign-policy
77,2016-06-02 14:39:21,"<p>Says Hillary Clinton has spoken &quot;such lies about my foreign policy. They said I want Japan to &hellip; get nuclear weapons. Give me a break.&quot;</p>
",barely-true,Housing,hillary-clinton,homeland-security
78,2016-06-01 16:27:10,"<p>&quot;We&#39;re losing thousands of (veterans) waiting on line&quot; because they can&#39;t get speedy health care from the Veterans Administration.</p>

<div>&nbsp;</div>
",half-true,JobsjobsPovertypovertyWorkersworkers,barack-obama,human-rights
79,2016-05-31 17:41:12,"<p>&quot;I wanted to keep it private, because I don&#39;t think it&#39;s anybody&#39;s business if I want to send money to the vets.&quot;</p>
",pants-fire,Jobs,donald-trump,immigration
80,2016-05-31 08:00:00,"<p>In California, &quot;the windmills are killing hundreds and hundreds of eagles.&quot;</p>

<div>&nbsp;</div>
",barely-true,Poverty,hillary-clinton,terrorism
81,2016-05-29 17:18:27,"<p>&quot;Right now, in every major poll, national poll and statewide poll done in the last month, six weeks, we are defeating Trump, often by big numbers&nbsp;and always at a larger margin than Secretary Clinton is.&quot;</p>
",mostly-true,Workers,barack-obama,welfare
82,2016-05-27 16:38:03,"<p>&quot;Hypocrisy at the Clinton Foundation: Top male staff made on average $218,029 while top female staff made $153,014 from 2010-2014.&quot;</p>
",half-true,Health Carehealth-careVeteransveterans,donald-trump,immigration
83,2016-05-26 14:57:48,"<p>&quot;In 2006, Donald Trump was hoping for a real estate crash.&quot;</p>
",mostly-true,Health Care,donald-trump,crime
84,2016-05-26 11:40:52,"<p>It &quot;is Hillary Clinton&#39;s agenda&quot; to &quot;release the violent criminals from jail. She wants them all released.&quot;</p>
",pants-fire,Veterans,elizabeth-warren,criminal-justice
85,2016-05-25 18:20:27,"<p>&quot;There are places in America that are among the most dangerous in the world. You go to places like Oakland. Or Ferguson. The crime numbers are worse. Seriously.&quot;</p>
",false,Electionselections,hillary-clinton,economy
86,2016-05-25 16:00:00,"<p>&quot;Look, we are at war with these people and they don&#39;t wear uniforms. &hellip;&nbsp;This is a war against people that are vicious, violent people, that we have no idea who they are, where they come from. We are allowing tens of thousands of them into our country now.&quot;</p>
",pants-fire,Elections,bill-clinton,immigration
87,2016-05-24 13:00:00,"<p>&quot;The only two (Donald Trump tax returns) we have show that he hasn&#39;t paid a penny in taxes.&quot;</p>
",barely-true,Immigrationimmigration,donald-trump,poverty
88,2016-05-20 15:50:46,"<p>&quot;We now do have evidence&quot; that Donald Trump is being used as a recruiting tool for terrorists.</p>
",true,Immigration,hillary-clinton,welfare
89,2016-05-19 10:44:03,"<p>Says &quot;Elizabeth Warren lied when she says I want to abolish the Federal Minimum Wage.&quot;</p>
",barely-true,HistoryhistoryHuman Rightshuman-rightsLegal Issueslegal-issuesReligionreligionTaxestaxes,bill-clinton,elections
90,2016-05-18 17:16:40,"<p>Says Donald Trump said of women, &quot;And you can tell them to go f--- themselves.&quot;</p>
",pants-fire,History,donald-trump,candidates-biography
91,2016-05-11 16:45:56,"<p>Says&nbsp;Hillary Clinton &quot;wants to abolish the Second Amendment.&quot;</p>
",false,Human Rights,donald-trump,criminal-justice
92,2016-05-11 15:49:39,"<p>Germany &quot;is crime-riddled right now&quot; because of migration to Europe.</p>
",barely-true,Legal Issues,hillary-clinton,job-accomplishments
93,2016-05-08 17:44:51,"<p>&quot;You have to be a citizen to vote,&quot; but with same-day voter registration, &quot;you have places where people just walk in and vote.&quot;</p>
",false,Religion,hillary-clinton,legal-issues
94,2016-05-08 17:43:00,"<p>&quot;We&#39;re the highest taxed nation in the world.&quot;</p>
",false,Taxes,donald-trump,campaign-advertising
95,2016-05-05 18:10:25,"<p>Says Donald Trump promised to repeal Obamacare, build a wall, ban Muslims, and more.</p>
",mostly-true,Taxestaxes,hillary-clinton,public-service
96,2016-05-03 17:59:12,"<p>Says Ted Cruz&rsquo;s father &quot;was with Lee Harvey Oswald&quot; before the assassination of President John F. Kennedy.</p>
",pants-fire,Taxes,donald-trump,technology
97,2016-05-02 16:26:53,"<p>&quot;Frankly, (Hillary Clinton) doesn&rsquo;t do very well with women.&quot;</p>
",pants-fire,EconomyeconomyIncomeincome,hillary-clinton,immigration
98,2016-04-28 16:55:47,"<p>&quot;When President Obama landed in Cuba on Air Force One, no leader was there, nobody, to greet him -- perhaps an incident without precedent in the long and prestigious history of Air Force One.&quot;</p>
",half-true,Economy,donald-trump,debt
99,2016-04-27 18:05:43,"<p>&quot;ISIS is making millions of dollars a week selling Libyan oil.&quot;</p>
",false,Income,hillary-clinton,deficit
100,2016-04-27 18:00:14,"<p>&quot;I was totally against the war in Iraq, saying for many years that it would destabilize the Middle East.&quot;</p>
",false,EconomyeconomyTradetrade,donald-trump,economy
